Key,English,French
Box_error.Text_error,Error: Email or password is incorrect,Erreur : L'email ou le mot de passe est incorrect
Settings.Text Options,Options,Paramètres
Settings.Sound.Text Sound,Sound:,Le son :
Settings.Sound.Text Music,Music,Musique
Settings.Sound.Text Effects,Effects,Effets
Settings.Sound.Text Mute,Mute,Muet
Settings.Language.Text Language,Language:,Langue :
Settings.Language.Button-English,English,Anglais
Settings.Language.Button-Francais,French,Français
